PCON11CD,PCON11NM,Area Sq Km,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2018 ,Mid-2017,Mid-2016,Mid-2015
E14000718,Greenwich and Woolwich,17,"132,604","129,210","125,950","123,250","7,882","7,681","7,487","7,326"
E14000719,Guildford,189,"115,030","114,435","113,082","112,102",610,607,599,594
E14000720,Hackney North and Stoke Newington,9,"142,882","141,379","140,714","138,977","15,767","15,601","15,528","15,336"
E14000721,Hackney South and Shoreditch,10,"136,783","134,550","132,525","129,649","13,696","13,473","13,270","12,982"
E14000722,Halesowen and Rowley Regis,30,"89,529","89,126","89,044","88,696","3,008","2,995","2,992","2,980"
E14000723,Halifax,58,"105,233","104,649","104,237","103,385","1,824","1,814","1,807","1,792"
E14000724,Haltemprice and Howden,432,"89,782","89,510","89,373","89,180",208,207,207,207
E14000725,Halton,51,"98,031","97,326","97,017","96,442","1,928","1,914","1,908","1,897"
E14000726,Hammersmith,11,"118,780","117,504","116,596","117,192","10,532","10,418","10,338","10,391"
E14000727,Hampstead and Kilburn,13,"148,267","144,586","142,549","139,852","11,624","11,336","11,176","10,965"
E14000728,Harborough,205,"106,503","106,126","104,341","103,566",520,518,509,505
E14000729,Harlow,80,"97,148","96,754","96,478","95,813","1,219","1,214","1,211","1,202"
E14000730,Harrogate and Knaresborough,148,"103,510","103,322","103,136","103,089",699,697,696,696
E14000731,Harrow East,24,"108,539","108,089","108,157","107,439","4,578","4,559","4,562","4,532"
E14000732,Harrow West,18,"109,879","108,963","108,507","107,613","6,155","6,103","6,078","6,028"
E14000733,Hartlepool,94,"93,242","93,019","92,845","92,498",997,994,992,989
E14000734,Harwich and North Essex,391,"96,401","95,282","94,150","93,329",246,243,241,238
E14000735,Hastings and Rye,177,"111,806","111,779","111,657","110,418",632,631,631,624
E14000736,Havant,47,"96,061","95,381","94,481","93,910","2,034","2,020","2,001","1,989"
E14000737,Hayes and Harlington,45,"127,412","126,503","124,942","122,105","2,829","2,809","2,774","2,711"
E14000738,Hazel Grove,58,"80,218","80,374","80,402","79,980","1,376","1,379","1,379","1,372"
E14000739,Hemel Hempstead,104,"106,711","106,080","105,116","104,059","1,022","1,016","1,007",997
E14000740,Hemsworth,150,"99,246","98,041","96,815","95,708",662,654,646,638
E14000741,Hendon,31,"141,138","138,888","136,791","133,929","4,503","4,432","4,365","4,273"
E14000742,Henley,684,"99,597","99,228","99,349","99,139",146,145,145,145
E14000743,Hereford and South Herefordshire,724,"101,672","101,437","100,678","100,012",140,140,139,138
